CPU_Total,CPU_P1,CPU_P2,CPU_P3,CPU_P4,Disk_wrVolume,Disk_wrSpeed,Disk_wraccessVolume,Disk_wraccessSpeed,Load_1min,Load_5min,Load_15min,Mem_Avail%,Mem_Avail,Mem_freePhysical%,Mem_freePhysical,Mem_freeSwap%,Mem_freeSwap,Mem_freeTotal%,Mem_freeTotal,Ping_Time(ms),Ping_Min(ms),Ping_Max(ms),Ping_PacketLoss,Traffic_totalVolume,Traffic_totalSpeed,Traffic_inVolume,Traffic_inSpeed,Traffic_outVolume,Traffic_outSpeed,Class
13,13.3333,13.8333,14.1667,10.6667,644889.8129,10755.3338,60.5942,1.0106,0.5286,0.6371,0.5286,86,7044112384,95,7786711040,100,104853504,95,7891564544,1498.4667,845.6667,2303.5,0,3414244.359,56951.5323,2670094.827,44538.696,744149.5327,12412.8362,TVMwL
12.8333,19.1667,11.1667,11.6667,9.3333,645678.1107,10768.4808,60.5125,1.0092,0.575,0.6283,0.5367,86,7043897344,95,7786588843,100,104853504,95,7891442347,1119.52,618,1773,0,3282329.504,54732.8582,2604493.279,43429.9363,677836.2253,11302.9219,TVMwL
14.1667,12.8333,15.1667,12.1667,17.1667,472587.7028,7877.7747,48.2981,0.8051,0.8683,0.7033,0.57,86,7043682304,95,7786472107,100,104853504,95,7891325611,1260.6333,945,1579.6667,0,3504181.268,58441.9824,2713941.195,45262.5283,790240.0728,13179.4542,TVMwL
13.8333,13.5,9.5,16.3333,16,468154.8628,7807.7862,48.1073,0.8023,0.7467,0.7033,0.5767,86,7043885056,95,7786759509,100,104853504,95,7891613013,1256.6,808.8333,1755,0,3403665.553,56746.6748,2663697.153,44409.7558,739968.3997,12336.919,TVMwL
14,13.3333,17.6667,11.3333,13.5,295417.7686,4926.0925,34.1039,0.5687,0.8383,0.735,0.595,86,7045554176,95,7788516693,100,104853504,95,7893370197,1268.0667,576.8333,2173.3333,0,3426891.292,57143.4266,2693780.891,44918.8076,733110.401,12224.619,TVMwL
13.8333,13.1667,14,12.8333,15.5,301695.5848,5030.7751,33.0189,0.5506,0.838,0.758,0.612,86,7044651008,95,7787699541,100,104853504,95,7892553045,1343.04,747,2298.6,0,3215649.679,53620.9718,2564917.219,42770.0053,650732.4602,10850.9665,TVMwL
14.1667,13.6667,16.3333,12.3333,14,275846.9659,4599.7493,33.9079,0.5654,0.8217,0.7733,0.6283,86,7044048896,95,7787180032,100,104853504,95,7892033536,1333.5,754.3333,1783.3333,0,3535601.653,58946.343,2749904.541,45847.0247,785697.1117,13099.3183,TVMwL
13.1667,15.5,16,11.1667,10.1667,422060.2483,7039.0302,44.6816,0.7452,0.6783,0.7383,0.6267,86,7044288512,95,7787539115,100,104853504,95,7892392619,1163.9,565,2086.1667,0,3331235.278,55539.101,2611526.416,43539.9536,719708.8619,11999.1474,TVMwL
13.6667,14,17.6667,13.1667,8.5,643642.5454,10730.9527,59.5398,0.9927,0.6883,0.7333,0.6367,86,7045900288,95,7789242368,100,104853504,95,7894095872,1251.5667,422.5,2336,0,3368609.724,56162.2161,2647926.62,44146.8259,720683.1039,12015.3902,TVMwL
12.6667,14.3333,11.6667,15.6667,9,529466.972,8828.864,50.0073,0.8339,0.8457,0.7657,0.6529,86,7045341184,95,7788763136,100,104853504,95,7893616640,941.1333,181.6667,1813.1667,0,3494480.867,58270.483,2728680.199,45500.7537,765800.6682,12769.7293,TVMwL
11.6667,11.3333,14,10.5,10.1667,194532.6085,3243.2912,25.6956,0.4284,0.6333,0.7317,0.65,86,7045255168,95,7788747435,100,104853504,95,7893600939,578.4,409,753.1429,0,2715438.536,45279.9489,1790909.095,29863.4166,924529.4409,15416.5323,TVM
2.8333,3.6667,2.1667,4.6667,2,122066.5599,2035.4604,15.402,0.2568,0.3483,0.6317,0.6183,86,7045040128,95,7788604075,100,104853504,95,7893457579,11.7667,7.5,19,0,1850571.212,30853.1379,920843.8408,15352.5149,929727.3714,15500.6231,TVM
2.8333,3.3333,4.1667,3.6667,0.3333,97483.98,1625.2748,11.5996,0.1934,0.1317,0.5167,0.58,86,7044997120,95,7788548779,100,104853504,95,7893402283,11.9667,7.8333,18.1667,0,1838936.788,30664.2786,915348.1592,15263.4344,923588.6286,15400.8442,TVM
2.3333,1.1667,5.6667,2.1667,0.8333,104860.0601,1748.8336,13.6006,0.2268,0.1233,0.44,0.5483,86,7044997120,95,7788617045,100,104853504,95,7893470549,12.5,8.6667,18.3333,0,1855345.362,30937.8917,923543.3624,15400.0894,931802,15537.8022,TVM
2.1667,1.1667,5,3,0.5,121244.0601,2022.0824,15.2002,0.2535,0.0783,0.37,0.515,86,7044997120,95,7788601344,100,104853504,95,7893454848,8.4333,7.3333,9.8333,0,1834410.618,30593.9062,912771.1127,15223.0005,921639.5055,15370.9057,TVM
2,2.1667,4.1667,1.3333,1,131072,2185.2618,15.6,0.2601,0.0833,0.3167,0.4833,86,7044997120,95,7788678485,100,104853504,95,7893531989,10.4333,7.6667,14.3333,0,1855085.863,30933.5645,923311.0016,15396.2148,931774.8611,15537.3497,TVM
2.6667,2,3.8333,1.6667,3.6667,68807.8799,1147.3717,8.7994,0.1467,0.0783,0.275,0.4567,86,7044868096,95,7788536491,100,104853504,95,7893389995,12.1,7.3333,23.8333,0,1834749.686,30594.4587,913283.6865,15229.0093,921465.9997,15365.4494,TVM
2.3333,2.3333,2.8333,1,3.8333,144184.1201,2403.87,15.6006,0.2601,0.0267,0.22,0.425,86,7044653056,95,7788386987,100,104853504,95,7893240491,12.8333,8.3333,20,0,1854735.087,30927.7153,922941.4535,15390.0526,931793.6336,15537.6627,TVM
2.8333,3.6667,2.3333,2.6667,2.6667,107311.9199,1789.7251,14.1992,0.2368,0.0517,0.19,0.4033,86,7044569771,95,7788320085,100,104853504,95,7893173589,12.3667,8,19.8333,0,1835446.94,30616.2959,913882.5736,15244.0796,921564.3664,15372.2163,TVM
2.3333,2.6667,3.8333,1.3333,2.1667,128529.2949,2142.8692,13.9936,0.2333,0.0233,0.155,0.375,86,7044442112,95,7788222464,100,104853504,95,7893075968,9.9333,7.1667,13.8333,0,1854863.214,30929.8518,923069.5806,15392.1891,931793.6336,15537.6627,TVM
3,1,4.8333,1,4.6667,57430.7452,957.8176,9.607,0.1602,0.2083,0.1783,0.365,86,7044227072,95,7788045653,100,104853504,95,7892899157,12.0667,7.8333,21.5,0,1834616.719,30592.2414,913060.7187,15225.2913,921556,15366.9501,TVM
2.5,2.1667,2.8333,1.6667,4,120399.4394,2007.6612,13.3954,0.2234,0.135,0.1667,0.35,86,7044227072,95,7788050432,100,104853504,95,7892903936,12.6,8.3333,22.8333,0,1857503.092,30973.8718,925719.7746,15436.3811,931783.3175,15537.4907,TVM
3.5,2.8333,4.5,2.5,3.3333,101551.2793,1693.368,12,0.2001,0.0483,0.135,0.3267,86,7044055040,95,7787945984,100,104853504,95,7892799488,14.4,7.8333,27.8333,0,1855212.199,30930.5135,923316.411,15393.7381,931895.788,15536.7754,TVM
2.8333,1.6667,4.6667,4,1.5,82793.3213,1380.579,10.8048,0.1802,0.0667,0.1217,0.3083,86,7043969024,95,7787830613,100,104853504,95,7892684117,12.4333,7.3333,21,0,1834307.063,30581.9784,912817.8024,15218.7029,921489.2609,15363.2754,TVM
