CPU_Total,CPU_P1,CPU_P2,CPU_P3,CPU_P4,Disk_wrVolume,Disk_wraccessVolume,Load_1min,Load_5min,Load_15min,Mem_Avail,Mem_freeTotal,Ping_Time(ms),Ping_Min(ms),Ping_Max(ms),Ping_PacketLoss,Traffic_inVolume,Traffic_outVolume,Class
2.0,1.0,2.0,2.0,1.0,1961012.276,32.6997,0.11,0.065,0.0917,70344704.0,7805493931.0,9.0667,7.5,12.1667,0.0,923048.227,931956.5682,TSK
2.1667,5.0,2.0,2.3333,0.1667,119178.8248,15.6982,0.0567,0.15,0.31,6965620736.0,7877637461.0,9.3,7.5,13.6667,0.0,914492.2242,922517.4802,TVM
26.0,1.0,1.6667,100.0,1.0,16384.0,3.0,1.0,1.02,1.0917,74509653.33,2495401301.0,10.8667,7.3333,16.8333,0.0,902603.0617,911141.5988,WSK
5.5714,10.2857,2.0,8.0,2.1429,5314747.078,38.6795,0.09,0.0383,0.0533,72347648.0,7804856320.0,759.4667,171.8333,1686.8333,0.0,2819486.364,753757.8225,TSKwL
6.0,11.1667,3.1667,3.8333,4.3333,13777.0916,2.3635,0.1783,0.0617,0.02,6978183168.0,7888265216.0,725.0,144.3333,1757.1667,0.0,2757544.822,756058.173,NTSwL
32.0,27.0,1.0,0.1667,100.0,5879877.646,43.994,1.2571,1.3543,1.3257,78742869.33,3133379243.0,1393.6667,649.6667,2246.1667,3.3333,2762198.816,644610.2027,WSKwL
1.0,1.0,1.0,1.0,1.0,16384.0,3.0,0.025,0.0067,0.0017,7117094912.0,7932086955.0,8.8667,7.8333,10.5,0.0,931516.3874,940986.0721,NTS
28.3333,12.5,19.3333,21.6667,60.6667,5959216.484,44.9246,1.3883,1.115,0.9467,3736543232.0,6312512853.0,692.5333,339.1667,1518.8333,0.0,2816234.079,736480.6134,WSKwL
1.0,1.1667,1.0,1.0,1.5,1762145.121,32.2002,0.05,0.0333,0.08,406682965.3,7801036800.0,10.1667,8.0,15.3333,0.0,913288.3033,921692.7748,TSK
2.3333,1.0,3.8333,1.0,4.0,140892.5794,17.5984,0.175,0.175,0.22,6995615744.0,7883324075.0,10.3667,7.3333,16.1667,0.0,921564.3394,929841.9267,TVM
5.0,10.0,2.0,4.8333,3.5,6018684.672,36.2703,0.3017,0.32,0.22,2885509120.0,7854010368.0,920.0286,417.0,1719.8571,0.0,2859139.509,752566.7297,TWMwL
5.0,9.7143,1.8571,5.7143,3.2857,4695010.144,38.4951,0.38,0.2833,0.1633,125616810.7,7851226453.0,818.1333,170.3333,1980.5,0.0,2728607.015,723659.1669,TWMwL
1.0,1.0,1.0,1.0,0.3333,16384.0,3.0,0.0,0.0233,0.075,7068766208.0,7925787307.0,8.9333,7.1667,10.8333,0.0,921610.2973,930698.0721,NTS
13.1667,15.0,7.8333,18.6667,11.3333,293278.4047,32.9218,0.5283,0.5217,0.42,6997510144.0,7885190485.0,1217.4,795.2,1508.8,0.0,3007727.839,794566.3374,TVMwL
4.8333,9.0,4.1667,3.5,2.3333,12288.0,2.0,0.195,0.255,0.185,7084731051.0,7923014315.0,967.4333,253.0,2028.8333,0.0,2705290.717,777555.3212,NTSwL
1.0,1.0,1.0,1.0,1.0,2119148.059,32.7986,0.0583,0.02,0.02,1797855232.0,7851810816.0,8.3,7.8333,9.5,0.0,922784.1862,931877.2012,TWM
1.8333,1.0,1.8333,2.0,1.0,2151224.12,37.0,0.07,0.1867,0.225,75528192.0,7803084117.0,8.9667,7.8333,11.5,0.0,913104.5,921640.0,TSK
13.5,13.0,22.0,10.3333,8.5,616355.8553,56.396,0.55,0.46,0.28,6927482880.0,7865475755.0,1286.4,968.8333,1640.3333,0.0,2842397.679,789973.9855,TVMwL
1.0,1.0,1.0,1.0,1.0,2277753.209,30.5986,0.0,0.0,0.0,5627607040.0,7886257493.0,10.2333,7.6667,17.3333,0.0,913062.3352,921525.2567,TWM
1.0,1.0,1.0,1.0,1.0,2059296.66,29.4036,0.0067,0.115,0.145,1836635477.0,7853916843.0,9.1,7.5,12.8333,0.0,923113.0,931850.6126,TWM
5.0,10.0,2.0,5.5,2.8333,4681794.558,36.2306,0.17,0.1633,0.0867,2959544320.0,7853346816.0,1194.9,690.3333,2184.8333,0.0,2878929.414,796567.9322,TWMwL
1.0,1.0,1.0,1.0,1.0,2090310.082,34.3884,0.0,0.0,0.005,2815363072.0,7853122901.0,8.7667,7.5,11.3333,0.0,922869.8448,931926.2097,TWM
26.0,1.1667,97.8333,3.1667,1.0,2130320.99,34.3986,1.065,1.12,1.155,70942720.0,1651774123.0,10.5,8.0,16.3333,0.0,921259.4,929818.8,WSK
3.0,3.1667,1.3333,4.8333,1.8333,129030.1502,14.6006,0.0283,0.0733,0.1867,6975504384.0,7878710613.0,8.3667,7.1667,10.5,0.0,924670.1973,931858.9342,TVM
30.1667,9.8333,11.1667,1.0,100.0,16384.0,3.0,1.2929,1.2443,1.1514,73363456.0,1916123819.0,1159.05,477.5,1909.6667,3.3333,2775592.753,715914.8777,WSKwL
1.8,3.0,1.4,1.6,1.8,3986730.619,34.4235,0.025,0.01,0.0,1576098475.0,7853320875.0,856.0333,467.8333,1157.1667,0.0,2316523.902,792945.7488,TWMwL
1.0,1.0,1.0,1.0,1.0,13923.9399,2.5996,0.0133,0.0333,0.0967,6976194560.0,7888676864.0,11.2,8.0,18.1667,0.0,912113.0,921472.0,NTS
14.0,14.1667,12.3333,16.5,13.1667,458543.7762,44.9393,0.6617,0.5783,0.4033,6924136448.0,7863687168.0,877.0857,447.5714,1554.2857,0.0,2740080.224,736577.4358,TVMwL
32.0,26.6667,1.0,100.0,1.0,1944996.305,17.9017,1.4,1.3633,1.2267,72271872.0,2054899712.0,1316.3333,603.0,2027.0,0.0,2765436.495,736173.5313,WSKwL
1.0,1.0,1.0,1.0,1.0,2025062.4,29.4,0.0,0.0,0.0417,1599772672.0,7852878507.0,8.4333,7.6667,9.1667,0.0,916723.0751,924695.003,TWM
1.0,1.0,1.0,1.0,1.0,2187228.739,34.999,0.0,0.0,0.045,1809018880.0,7851405995.0,9.4333,7.6667,11.8333,0.0,923182.5417,931872.5547,TWM
5.0,9.6667,3.0,2.8333,4.5,12022.4352,2.2901,0.1867,0.1533,0.06,7116566528.0,7932682240.0,985.7667,181.0,2045.8333,0.0,2565874.732,706871.9332,NTSwL
1.0,1.0,1.0,1.0,0.5,2109448.2,34.6016,0.0,0.0,0.0067,5299863552.0,7850110976.0,11.1667,7.8333,18.0,0.0,872102.0,880640.5,TWM
6.0,11.0,2.6,6.4,3.2,6130618.579,44.7094,0.38,0.2783,0.1717,784917845.3,7801064789.0,1100.2667,551.1667,1738.3333,0.0,2926072.646,779945.6002,TSKwL
5.0,10.0,1.6667,6.0,2.3333,5368238.944,37.4035,0.2633,0.2167,0.1267,693407744.0,7850841429.0,1190.9667,330.3333,1932.3333,0.0,2802703.275,763343.4873,TWMwL
5.0,10.0,1.0,4.5,4.6667,6946.3796,1.4639,0.2743,0.2529,0.2357,6976595968.0,7888947200.0,114.4667,7.8333,373.8333,0.0,1610673.624,795638.7986,NTS
32.0,26.5,1.0,76.0,25.0,15364.5676,2.8341,1.5367,1.4117,1.215,72880128.0,3008404821.0,1370.72,829.2,1858.2,0.0,2847743.728,761860.7055,WSKwL
6.0,11.0,2.0,7.0,3.1667,5989025.157,43.424,0.345,0.255,0.1583,72630272.0,7804988757.0,1126.5333,495.3333,1851.5,0.0,2878185.561,737148.3611,TSKwL
1.5,1.3333,1.8333,1.6667,1.0,1886078.847,29.6997,0.0517,0.0433,0.0617,72400896.0,7806939819.0,9.8,8.1667,12.5,0.0,923343.6548,931837.0642,TSK
14.6667,13.6667,19.1667,10.0,15.5,297078.0682,33.7572,0.645,0.5567,0.41,6990493696.0,7884320768.0,1204.5333,661.5,1814.3333,0.0,2808876.845,766816.8516,TVMwL
15.0,16.3333,10.6667,13.0,19.5,333657.9241,37.7641,0.505,0.46,0.3017,6994954240.0,7886267733.0,944.2,432.5,1695.8333,0.0,2846803.272,769321.4849,TVMwL
