CPU_Total,CPU_P1,CPU_P2,CPU_P3,CPU_P4,Disk_wrVolume,Disk_wrSpeed,Disk_wraccessVolume,Disk_wraccessSpeed,Load_1min,Load_5min,Load_15min,Mem_Avail%,Mem_Avail,Mem_freePhysical%,Mem_freePhysical,Mem_freeTotal%,Mem_freeTotal,Ping_Time(ms),Ping_Min(ms),Ping_Max(ms),Ping_PacketLoss,Traffic_totalVolume,Traffic_totalSpeed,Traffic_inVolume,Traffic_inSpeed,Traffic_outVolume,Traffic_outSpeed,Class
6.0,11.3333,3.3333,5.0,2.8333,6961.0096,116.0749,1.4663,0.0245,0.25,0.29,0.1971,85.0,6978826240.0,95.0,7783596032.0,95.0,7888449536.0,833.44,353.0,1852.8,0.0,3401321.663,56717.0529,2672677.798,44566.9134,728643.8653,12150.1395,NTSwL
6.0,11.4,3.6,5.4,3.4,5232387.861,87235.5429,41.2404,0.6876,0.285,0.31,0.2483,1.0,72781141.33,94.0,7698502997.0,94.0,7803356501.0,1049.4667,358.1667,2280.8333,0.0,3642771.4,60753.3589,2904795.028,48445.5475,737976.3719,12307.8114,TSKwL
6.0,11.0,3.6,6.0,3.0,6162136.042,102770.7812,78.7145,1.3128,0.485,0.365,0.2367,29.0,2356586496.0,94.0,7701837824.0,94.0,7806691328.0,1134.7667,498.5,2299.6667,0.0,3517296.918,58660.7224,2785078.767,46448.9454,732218.1505,12211.777,TSKwL
6.0,11.0,3.8,5.8,2.8,7142358.275,119118.7171,43.3023,0.7222,0.125,0.205,0.1733,38.0,3111669077.0,94.0,7701512875.0,94.0,7806366379.0,1236.3667,611.8333,1860.0,0.0,3706820.913,61811.2542,2917839.682,48654.9889,788981.2317,13156.2653,TSKwL
5.0,9.5,5.0,2.8333,2.8333,14862.4016,247.7893,2.6285,0.0438,0.1633,0.24,0.1817,1.0,90071040.0,95.0,7745646592.0,95.0,7850500096.0,508.6667,8.1667,1469.6667,0.0,3701802.741,61737.8709,2934865.473,48947.0559,766937.2677,12790.815,NTSwL
12.0,11.1667,8.8333,7.3333,20.3333,338010.9528,5637.2741,37.0646,0.6182,0.405,0.1617,0.1583,84.0,6915127296.0,95.0,7754057728.0,95.0,7858911232.0,1451.1333,758.1667,2295.5,0.0,3600843.07,60044.0732,2838311.371,47328.8539,762531.6995,12715.2193,TVMwL
26.0,1.0,1.0,100.0,0.0,2141190.135,35710.3091,34.5115,0.5756,1.0283,1.0117,1.0633,2.0,130949802.7,39.0,3184288427.0,40.0,3289141931.0,9.0333,7.8333,10.3333,0.0,1834066.857,30588.1731,912560.6258,15219.4901,921506.2312,15368.683,WSK
13.6667,15.5,15.1667,11.8333,12.0,303585.8824,5061.4519,35.5686,0.593,0.8314,0.7843,0.6871,86.0,7007993856.0,95.0,7782378155.0,95.0,7887231659.0,1121.5333,614.1667,1707.8333,0.0,3604224.016,60100.4505,2836235.637,47294.2411,767988.3792,12806.2094,TVMwL
1.0,1.0,1.0,1.0,1.0,13518.03,225.3756,2.3003,0.0384,0.0217,0.0567,0.1283,87.0,7109651115.0,95.1667,7822091605.0,96.0,7926945109.0,10.4,7.6667,17.6667,0.0,1854685.623,30926.8905,922878.5288,15389.0033,931807.0937,15537.8872,NTS
5.0,9.6667,4.1667,4.8333,1.5,4917629.391,81974.1522,37.3465,0.6225,0.19,0.1617,0.0833,71.0,5781202944.0,95.0,7781152085.0,95.0,7886005589.0,813.3143,262.8571,1830.5714,0.0,3379333.512,56359.7984,2704838.541,45110.7162,674494.9712,11249.0822,TWMwL
30.0,9.0,10.5,8.6667,92.3333,5790452.962,96555.8273,37.4565,0.6246,1.1583,1.2683,1.2533,33.0,2726201344.0,67.0,5512744277.0,68.0,5617597781.0,554.5667,77.0,1827.6667,0.0,3481089.834,58047.1875,2746943.967,45805.3021,734145.8665,12241.8854,WSKwL
5.0,10.2857,2.0,5.2857,3.0,4592745.516,76584.0506,35.9201,0.599,0.175,0.21,0.1617,1.0,71900501.33,95.0,7745800192.0,95.0,7850653696.0,782.6667,392.1667,1384.6667,0.0,3631241.937,60561.073,2860497.078,47706.7558,770744.8593,12854.3172,TWMwL
2.0,1.0,2.0,2.0,1.0,1961012.276,32705.3415,32.6997,0.5454,0.11,0.065,0.0917,1.0,70344704.0,94.0,7700640427.0,94.0,7805493931.0,9.0667,7.5,12.1667,0.0,1855004.795,30932.2127,923048.227,15391.833,931956.5682,15540.3797,TSK
2.1667,5.0,2.0,2.3333,0.1667,119178.8248,1987.6388,15.6982,0.2618,0.0567,0.15,0.31,85.0,6965620736.0,95.0,7772783957.0,95.0,7877637461.0,9.3,7.5,13.6667,0.0,1837009.704,30632.1445,914492.2242,15249.1617,922517.4802,15382.9828,TVM
26.0,1.0,1.6667,100.0,1.0,16384.0,273.2033,3.0,0.05,1.0,1.02,1.0917,1.0,74509653.33,29.0,2390547797.0,30.0,2495401301.0,10.8667,7.3333,16.8333,0.0,1813744.66,30244.1998,902603.0617,15050.9098,911141.5988,15193.29,WSK
5.5714,10.2857,2.0,8.0,2.1429,5314747.078,88608.6542,38.6795,0.6449,0.09,0.0383,0.0533,1.0,72347648.0,94.0,7700002816.0,94.0,7804856320.0,759.4667,171.8333,1686.8333,0.0,3573244.186,59573.9277,2819486.364,47007.1084,753757.8225,12566.8193,TSKwL
6.0,11.1667,3.1667,3.8333,4.3333,13777.0916,229.7331,2.3635,0.0394,0.1783,0.0617,0.02,85.0,6978183168.0,95.0,7783411712.0,95.0,7888265216.0,725.0,144.3333,1757.1667,0.0,3513602.994,58579.5764,2757544.822,45974.4052,756058.173,12605.1713,NTSwL
32.0,27.0,1.0,0.1667,100.0,5879877.646,98046.9843,43.994,0.7336,1.2571,1.3543,1.3257,1.0,78742869.33,37.0,3028525739.0,38.0,3133379243.0,1393.6667,649.6667,2246.1667,3.3333,3406809.019,56799.0833,2762198.816,46051.9976,644610.2027,10747.0857,WSKwL
1.0,1.0,1.0,1.0,1.0,16384.0,273.2033,3.0,0.05,0.025,0.0067,0.0017,87.0,7117094912.0,96.0,7827233451.0,96.0,7932086955.0,8.8667,7.8333,10.5,0.0,1872502.46,31229.1938,931516.3874,15535.6302,940986.0721,15693.5636,NTS
28.3333,12.5,19.3333,21.6667,60.6667,5959216.484,99386.5324,44.9246,0.7492,1.3883,1.115,0.9467,46.0,3736543232.0,76.0,6207659349.0,76.0,6312512853.0,692.5333,339.1667,1518.8333,0.0,3552714.692,59231.6554,2816234.079,46952.8856,736480.6134,12278.7698,WSKwL
1.0,1.1667,1.0,1.0,1.5,1762145.121,29388.6778,32.2002,0.537,0.05,0.0333,0.08,5.0,406682965.3,94.0,7696183296.0,94.0,7801036800.0,10.1667,8.0,15.3333,0.0,1834981.078,30598.3171,913288.3033,15229.0863,921692.7748,15369.2309,TSK
2.3333,1.0,3.8333,1.0,4.0,140892.5794,2348.9927,17.5984,0.2934,0.175,0.175,0.22,85.0,6995615744.0,95.0,7778470571.0,95.0,7883324075.0,10.3667,7.3333,16.1667,0.0,1851406.266,30867.0601,921564.3394,15364.5272,929841.9267,15502.533,TVM
5.0,10.0,2.0,4.8333,3.5,6018684.672,100344.8595,36.2703,0.6047,0.3017,0.32,0.22,35.0,2885509120.0,95.0,7749156864.0,95.0,7854010368.0,920.0286,417.0,1719.8571,0.0,3611706.238,60235.2608,2859139.509,47684.1146,752566.7297,12551.1463,TWMwL
5.0,9.7143,1.8571,5.7143,3.2857,4695010.144,78302.3707,38.4951,0.642,0.38,0.2833,0.1633,2.0,125616810.7,95.0,7746372949.0,95.0,7851226453.0,818.1333,170.3333,1980.5,0.0,3452266.182,57556.9554,2728607.015,45491.9476,723659.1669,12065.0078,TWMwL
1.0,1.0,1.0,1.0,0.3333,16384.0,273.2488,3.0,0.05,0.0,0.0233,0.075,86.0,7068766208.0,95.0,7820933803.0,96.0,7925787307.0,8.9333,7.1667,10.8333,0.0,1852308.369,30897.5541,921610.2973,15372.9824,930698.0721,15524.5717,NTS
13.1667,15.0,7.8333,18.6667,11.3333,293278.4047,4889.6033,32.9218,0.5489,0.5283,0.5217,0.42,85.0,6997510144.0,95.0,7780336981.0,95.0,7885190485.0,1217.4,795.2,1508.8,0.0,3802294.176,63392.7005,3007727.839,50145.5125,794566.3374,13247.188,TVMwL
4.8333,9.0,4.1667,3.5,2.3333,12288.0,204.9366,2.0,0.0334,0.195,0.255,0.185,86.1667,7084731051.0,95.0,7818160811.0,96.0,7923014315.0,967.4333,253.0,2028.8333,0.0,3482846.038,58086.1581,2705290.717,45118.2575,777555.3212,12967.9006,NTSwL
1.0,1.0,1.0,1.0,1.0,2119148.059,35336.8027,32.7986,0.5469,0.0583,0.02,0.02,22.0,1797855232.0,95.0,7746957312.0,95.0,7851810816.0,8.3,7.8333,9.5,0.0,1854661.387,30931.6442,922784.1862,15389.9964,931877.2012,15541.6478,TWM
1.8333,1.0,1.8333,2.0,1.0,2151224.12,35877.6538,37.0,0.6171,0.07,0.1867,0.225,1.0,75528192.0,94.0,7698230613.0,94.0,7803084117.0,8.9667,7.8333,11.5,0.0,1834744.5,30589.2714,913104.5,15223.4828,921640.0,15365.7886,TSK
13.5,13.0,22.0,10.3333,8.5,616355.8553,10277.7365,56.396,0.9404,0.55,0.46,0.28,85.0,6927482880.0,95.0,7760622251.0,95.0,7865475755.0,1286.4,968.8333,1640.3333,0.0,3632371.665,60559.7143,2842397.679,47389.091,789973.9855,13170.6233,TVMwL
1.0,1.0,1.0,1.0,1.0,2277753.209,37981.5443,30.5986,0.5102,0.0,0.0,0.0,69.0,5627607040.0,95.0,7781403989.0,95.0,7886257493.0,10.2333,7.6667,17.3333,0.0,1834587.592,30586.6554,913062.3352,15222.7798,921525.2567,15363.8756,TWM
